,ranking,support
891,212,False
892,68,False
893,96,False
894,134,False
895,187,False
896,100,False
897,165,False
898,9,False
899,205,False
900,101,False
901,96,False
902,12,False
903,81,False
904,127,False
905,123,False
906,1,True
907,119,False
908,10,False
909,112,False
910,1,True
911,208,False
912,141,False
913,178,False
914,160,False
915,154,False
916,179,False
917,218,False
918,33,False
919,70,False
920,144,False
921,188,False
922,174,False
923,161,False
924,168,False
925,51,False
926,194,False
927,220,False
928,185,False
929,209,False
930,187,False
931,225,False
932,135,False
933,109,False
934,206,False
935,1,True
936,63,False
937,210,False
938,1,True
939,153,False
940,1,True
941,1,True
942,1,True
943,208,False
944,163,False
945,133,False
946,186,False
947,176,False
948,157,False
949,192,False
950,102,False
951,198,False
952,1,True
953,132,False
954,190,False
955,7,False
956,70,False
957,179,False
958,117,False
959,143,False
960,122,False
961,109,False
962,1,True
963,23,False
964,11,False
965,58,False
966,6,False
967,1,True
968,166,False
969,134,False
970,89,False
971,159,False
972,16,False
973,2,False
974,214,False
975,172,False
976,118,False
977,1,True
978,1,True
979,202,False
980,1,True
981,1,True
982,115,False
983,177,False
984,150,False
985,98,False
986,23,False
987,29,False
988,25,False
989,17,False
990,1,True
991,202,False
992,126,False
993,92,False
994,226,False
995,211,False
996,1,True
997,136,False
998,181,False
999,213,False
1000,55,False
1001,102,False
1002,182,False
1003,193,False
1004,115,False
1005,129,False
1006,224,False
1007,166,False
1008,70,False
1009,153,False
1010,111,False
1011,220,False
1012,30,False
1013,125,False
1014,224,False
1015,157,False
1016,1,True
1017,208,False
1018,182,False
1019,175,False
1020,84,False
1021,172,False
1022,163,False
1023,19,False
1024,62,False
1025,30,False
1026,216,False
1027,174,False
1028,108,False
1029,98,False
1030,164,False
1031,222,False
1032,33,False
1033,10,False
1034,211,False
1035,7,False
1036,68,False
1037,212,False
1038,1,True
1039,62,False
1040,135,False
1041,106,False
1042,72,False
1043,122,False
1044,81,False
1045,159,False
1046,123,False
1047,157,False
1048,1,True
1049,185,False
1050,114,False
1051,177,False
1052,51,False
1053,1,True
1054,225,False
1055,192,False
1056,28,False
1057,208,False
1058,1,True
1059,227,False
1060,66,False
1061,200,False
1062,170,False
1063,85,False
1064,213,False
1065,106,False
1066,203,False
1067,113,False
1068,210,False
1069,161,False
1070,184,False
1071,216,False
1072,88,False
1073,161,False
1074,220,False
1075,54,False
1076,1,True
1077,180,False
1078,140,False
1079,197,False
1080,129,False
1081,140,False
1082,1,True
1083,145,False
1084,56,False
1085,197,False
1086,172,False
1087,155,False
1088,184,False
1089,1,True
1090,1,True
1091,196,False
1092,1,True
1093,156,False
1094,96,False
1095,56,False
1096,159,False
1097,206,False
1098,1,True
1099,33,False
1100,141,False
1101,1,True
1102,45,False
1103,210,False
1104,23,False
1105,141,False
1106,192,False
1107,165,False
1108,1,True
1109,199,False
1110,75,False
1111,215,False
1112,149,False
1113,30,False
1114,222,False
1115,78,False
1116,1,True
1117,190,False
1118,61,False
1119,145,False
1120,1,True
1121,1,True
1122,90,False
1123,136,False
1124,94,False
1125,43,False
1126,126,False
1127,123,False
1128,48,False
1129,72,False
1130,129,False
1131,166,False
1132,140,False
1133,83,False
1134,218,False
1135,1,True
1136,1,True
1137,204,False
1138,2,False
1139,170,False
1140,146,False
1141,129,False
1142,22,False
1143,165,False
1144,34,False
1145,69,False
1146,104,False
1147,1,True
1148,150,False
1149,101,False
1150,65,False
1151,210,False
1152,79,False
1153,217,False
1154,222,False
1155,76,False
1156,214,False
1157,225,False
1158,196,False
1159,211,False
1160,155,False
1161,171,False
1162,179,False
1163,224,False
1164,168,False
1165,176,False
1166,140,False
1167,223,False
1168,176,False
1169,150,False
1170,199,False
1171,204,False
1172,67,False
1173,17,False
1174,223,False
1175,1,True
1176,118,False
1177,61,False
1178,160,False
1179,216,False
1180,91,False
1181,94,False
1182,94,False
1183,174,False
1184,1,True
1185,26,False
1186,202,False
1187,32,False
1188,142,False
1189,181,False
1190,167,False
1191,222,False
1192,71,False
1193,1,True
1194,139,False
1195,107,False
1196,91,False
1197,96,False
1198,1,True
1199,96,False
1200,62,False
1201,32,False
1202,1,True
1203,145,False
1204,31,False
1205,103,False
1206,1,True
1207,1,True
1208,86,False
1209,99,False
1210,1,True
1211,6,False
1212,1,True
1213,73,False
1214,156,False
1215,80,False
1216,73,False
1217,180,False
1218,194,False
1219,188,False
1220,204,False
1221,208,False
1222,204,False
1223,221,False
1224,214,False
1225,197,False
1226,150,False
1227,207,False
1228,173,False
1229,116,False
1230,151,False
1231,220,False
1232,213,False
1233,99,False
1234,180,False
1235,65,False
1236,65,False
1237,80,False
1238,58,False
1239,212,False
1240,1,True
1241,1,True
1242,48,False
1243,32,False
1244,1,True
1245,105,False
1246,138,False
1247,14,False
1248,74,False
1249,146,False
1250,39,False
1251,136,False
1252,1,True
1253,1,True
1254,180,False
1255,89,False
1256,30,False
1257,158,False
1258,1,True
1259,195,False
1260,1,True
1261,8,False
1262,1,True
1263,9,False
1264,106,False
1265,30,False
1266,11,False
1267,72,False
1268,151,False
1269,24,False
1270,1,True
1271,200,False
1272,1,True
1273,121,False
1274,224,False
1275,85,False
1276,75,False
1277,87,False
1278,83,False
1279,178,False
1280,21,False
1281,124,False
1282,140,False
1283,173,False
1284,171,False
1285,131,False
1286,167,False
1287,132,False
1288,155,False
1289,114,False
1290,95,False
1291,219,False
1292,98,False
1293,61,False
1294,209,False
1295,111,False
1296,1,True
1297,111,False
1298,77,False
1299,103,False
1300,14,False
1301,5,False
1302,33,False
1303,107,False
1304,144,False
1305,1,True
1306,106,False
1307,133,False
1308,1,True
1309,1,True
1310,1,True
1311,187,False
1312,26,False
1313,28,False
1314,154,False
1315,98,False
1316,83,False
1317,98,False
1318,128,False
1319,163,False
1320,151,False
1321,116,False
1322,147,False
1323,166,False
1324,179,False
1325,139,False
1326,190,False
1327,67,False
1328,153,False
1329,99,False
1330,190,False
1331,104,False
1332,169,False
1333,1,True
1334,159,False
1335,1,True
1336,1,True
1337,77,False
1338,1,True
1339,108,False
1340,1,True
1341,1,True
1342,45,False
1343,151,False
1344,1,True
1345,97,False
1346,91,False
1347,1,True
1348,1,True
1349,77,False
1350,38,False
1351,176,False
1352,75,False
1353,6,False
1354,93,False
1355,42,False
1356,1,True
1357,42,False
1358,1,True
1359,131,False
1360,1,True
1361,1,True
1362,29,False
1363,201,False
1364,1,True
1365,24,False
1366,117,False
1367,4,False
1368,1,True
1369,61,False
1370,1,True
1371,189,False
1372,84,False
1373,1,True
1374,1,True
1375,146,False
1376,1,True
1377,152,False
1378,35,False
1379,98,False
1380,36,False
1381,47,False
1382,1,True
1383,60,False
1384,113,False
1385,1,True
1386,1,True
1387,1,True
1388,59,False
1389,23,False
1390,23,False
1391,175,False
1392,1,True
1393,55,False
1394,207,False
1395,1,True
1396,41,False
1397,141,False
1398,150,False
1399,132,False
1400,102,False
1401,27,False
1402,101,False
1403,22,False
1404,183,False
1405,168,False
1406,138,False
1407,148,False
1408,146,False
1409,172,False
1410,66,False
1411,137,False
1412,20,False
1413,45,False
1414,227,False
1415,40,False
1416,1,True
1417,89,False
1418,56,False
1419,184,False
1420,1,True
1421,1,True
1422,48,False
1423,48,False
1424,37,False
1425,155,False
1426,130,False
1427,78,False
1428,195,False
1429,199,False
1430,169,False
1431,158,False
1432,91,False
1433,5,False
1434,105,False
1435,60,False
1436,19,False
1437,141,False
1438,26,False
1439,118,False
1440,35,False
1441,28,False
1442,7,False
1443,129,False
1444,17,False
1445,49,False
1446,1,True
1447,57,False
1448,25,False
1449,120,False
1450,18,False
1451,155,False
1452,1,True
1453,46,False
1454,211,False
1455,110,False
1456,113,False
1457,128,False
1458,1,True
1459,162,False
1460,1,True
1461,1,True
1462,19,False
1463,162,False
1464,175,False
1465,139,False
1466,121,False
1467,56,False
1468,119,False
1469,133,False
1470,1,True
1471,143,False
